set,Real_Score,Real_Rank,Syn_Score,Syn_Rank
DNA replication,1.1281389261009316,1.0,1.2363245253866684,1.0
Ribosome,0.9500119984375548,2.0,1.2023414826073828,2.0
RNA polymerase,0.9342305930646548,3.0,1.0879918999100038,3.0
One carbon pool by folate,0.9268733977644412,4.0,1.0473610875700095,5.0
Homologous recombination,0.9222086359294128,5.0,1.068351823498544,4.0
Base excision repair,0.9188179032088473,6.0,1.0371537543023988,6.0
Steroid biosynthesis,0.8194186264040456,7.0,0.9924966925785779,7.0
Fanconi anemia pathway,0.8115138196933975,8.0,0.8771506820991868,12.0
Ribosome biogenesis in eukaryotes,0.7991967375846434,9.0,0.9617105292402041,8.0
Ubiquinone and other terpenoid-quinone biosynthesis,0.7798108716185242,10.0,0.7292988559897393,38.0
RNA transport,0.7701283059945385,11.0,0.9346015210792105,10.0
Cell cycle,0.7627858964197715,12.0,0.8708571463413033,14.0
Mismatch repair,0.7348343433539223,13.0,0.8353693319118682,16.0
Spliceosome,0.733165077637791,14.0,0.9325624313502575,11.0
Pyrimidine metabolism,0.7254529709311935,15.0,0.7375500385380585,34.0
mRNA surveillance pathway,0.7218535334965032,16.0,0.8397652471466065,15.0
Bladder cancer,0.7139270425474128,17.0,0.8015308199030817,21.0
Synthesis and degradation of ketone bodies,0.7076005608687005,18.0,0.4902918417727234,198.0
Nucleotide excision repair,0.7071828308031888,19.0,0.7766634918354098,26.0
Aminoacyl-tRNA biosynthesis,0.6940339012382615,20.0,0.805994787907405,20.0
Oocyte meiosis,0.6868875663478766,21.0,0.7560289459209873,30.0
Progesterone-mediated oocyte maturation,0.6599559983733704,22.0,0.7269706162103927,39.0
Vasopressin-regulated water reabsorption,0.6544120169929907,23.0,0.5901878973753351,87.0
RNA degradation,0.6478033736451327,24.0,0.7716187412222789,27.0
Pentose phosphate pathway,0.6339406380736579,25.0,0.7465384661697674,32.0
Fructose and mannose metabolism,0.6166648889559314,26.0,0.7314534624258521,35.0
Oxidative phosphorylation,0.6145218287194095,27.0,0.8736637860287803,13.0
Amyotrophic lateral sclerosis,0.6139810769577343,28.0,0.7877207558921446,23.0
Parkinson disease,0.6125589947517953,29.0,0.8338484655308532,17.0
Non-small cell lung cancer,0.6112001759497013,30.0,0.7447473041555961,33.0
Cellular senescence,0.6032754738069346,31.0,0.6616636285260126,54.0
Protein export,0.6029763933698694,32.0,0.9416908428090838,9.0
Butanoate metabolism,0.5989881350418549,33.0,0.6027756262080851,76.0
Thyroid cancer,0.5985790299556009,34.0,0.7850900280633827,24.0
Small cell lung cancer,0.597073710505265,35.0,0.6369760256642581,64.0
Huntington disease,0.5906487657125249,36.0,0.8004866356553361,22.0
Amino sugar and nucleotide sugar metabolism,0.5851210745209386,37.0,0.6922689180391521,49.0
Epithelial cell signaling in Helicobacter pylori infection,0.5810948212934096,38.0,0.6435849115449543,59.0
p53 signaling pathway,0.5758025357944889,39.0,0.6764671690421927,51.0
Mitophagy,0.5736331381569133,40.0,0.626900722248787,68.0
Pancreatic cancer,0.5727332796972124,41.0,0.7109689027567759,44.0
Human T-cell leukemia virus 1 infection,0.5717616602300187,42.0,0.6403359189289172,62.0
Glutathione metabolism,0.5696827642196661,43.0,0.6985578364797157,46.0
Diabetic cardiomyopathy,0.5689085235512623,44.0,0.7826516017781435,25.0
Non-homologous end-joining,0.567942823438816,45.0,0.8242658650891386,18.0
Basal transcription factors,0.563556285334135,46.0,0.7611792817580495,28.0
Apoptosis,0.5569009329397215,47.0,0.6242332986946522,69.0
Lysine degradation,0.555087799511314,48.0,0.5396180199823083,130.0
Glioma,0.5529146237204884,49.0,0.5937390832595931,85.0
Chronic myeloid leukemia,0.5480498971535352,50.0,0.6712140683486975,53.0
"Valine, leucine and isoleucine degradation",0.5479500704570618,51.0,0.48718397943820735,200.0
Non-alcoholic fatty liver disease,0.5456310334939412,52.0,0.7505747303604648,31.0
Endocytosis,0.5456229472606859,53.0,0.610648597619125,73.0
Collecting duct acid secretion,0.5447295311046129,54.0,0.609108709062872,74.0
Melanoma,0.5446445162419449,55.0,0.6797570395965495,50.0
Thermogenesis,0.5431013844895041,56.0,0.7234790368698883,42.0
Proteasome,0.5412219417984266,57.0,0.8083810008862673,19.0
Prostate cancer,0.5321822144528416,58.0,0.6437959294156682,58.0
Pantothenate and CoA biosynthesis,0.5314845852342638,59.0,0.6145407628419909,72.0
Ubiquitin mediated proteolysis,0.529882335062972,60.0,0.5891852048540686,88.0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,0.5271397167676338,61.0,0.5830884779857292,95.0
AMPK signaling pathway,0.5266525769414789,62.0,0.5797852252489627,98.0
Prion disease,0.5262716152500005,63.0,0.7098446592032828,45.0
Vitamin digestion and absorption,0.525969794337003,64.0,0.44812927339812636,240.0
VEGF signaling pathway,0.5223264680065915,65.0,0.598345073831802,81.0
Salmonella infection,0.5219795545473966,66.0,0.6061624711798868,75.0
Synaptic vesicle cycle,0.5209181152305866,67.0,0.641350624619623,60.0
Phagosome,0.5197915652241162,68.0,0.5525261055063458,116.0
Purine metabolism,0.5195377677106734,69.0,0.6020503802281838,77.0
Pathways of neurodegeneration,0.5161510200845622,70.0,0.6930182221264931,47.0
Hepatitis B,0.5157607877143078,71.0,0.5966132895302129,83.0
Vibrio cholerae infection,0.5150476612239022,72.0,0.6009456845718867,79.0
Retrograde endocannabinoid signaling,0.5140520249425066,73.0,0.6737210822623799,52.0
Cardiac muscle contraction,0.5138954148301556,74.0,0.6609474131465725,55.0
Sulfur relay system,0.5132665682527955,75.0,0.5304780223949893,146.0
Choline metabolism in cancer,0.511930020236721,76.0,0.5776939053302007,100.0
Mannose type O-glycan biosynthesis,0.5087403180966019,77.0,0.7217003516427387,43.0
Fatty acid biosynthesis,0.5080037968926782,78.0,0.7313199078897781,36.0
Alzheimer disease,0.507282902086159,79.0,0.7298418705476409,37.0
cGMP-PKG signaling pathway,0.506566785298747,80.0,0.5347025808014547,136.0
Epstein-Barr virus infection,0.5063249317685224,81.0,0.6314810463567889,67.0
Protein processing in endoplasmic reticulum,0.5053176106324462,82.0,0.6925129085547382,48.0
Cocaine addiction,0.5035155559577428,83.0,0.5891045763164369,89.0
mTOR signaling pathway,0.5012301364964079,84.0,0.5794653693781787,99.0
Drug metabolism,0.4958115986653243,85.0,0.5359306352627239,135.0
MAPK signaling pathway,0.4955297405840419,86.0,0.549047424679858,121.0
Cytosolic DNA-sensing pathway,0.49520752237049487,87.0,0.5939470879806887,84.0
Fluid shear stress and atherosclerosis,0.4925526359831165,88.0,0.5848483116216736,92.0
Riboflavin metabolism,0.49170055349146347,89.0,0.7561074018658308,29.0
Toxoplasmosis,0.4908096025498581,90.0,0.5545842158021063,115.0
Inositol phosphate metabolism,0.48691628884084215,91.0,0.5848730170234981,91.0
Phospholipase D signaling pathway,0.4828156713841232,92.0,0.5602881157193083,109.0
Other types of O-glycan biosynthesis,0.48264466721901794,93.0,0.725372134941029,40.0
Spinocerebellar ataxia,0.4825276732483826,94.0,0.6390946274177931,63.0
Viral carcinogenesis,0.48230702850703566,95.0,0.5815169616238416,96.0
"Growth hormone synthesis, secretion and action",0.4802064613146921,96.0,0.47949301633948993,210.0
MicroRNAs in cancer,0.47940766538336804,97.0,0.5422366573935822,126.0
ErbB signaling pathway,0.47893498858471917,98.0,0.5363570180164061,133.0
Viral myocarditis,0.47867895367322394,99.0,0.49939121192129077,185.0
Tyrosine metabolism,0.47849583102227694,100.0,0.47867779264083204,211.0
TNF signaling pathway,0.47815159015465025,101.0,0.5328130305007776,142.0
Amphetamine addiction,0.4757111140327145,102.0,0.5160602023925859,160.0
Kaposi sarcoma-associated herpesvirus infection,0.4740351538847006,103.0,0.5520101858556019,118.0
Relaxin signaling pathway,0.4712638865871165,104.0,0.4826120928587876,207.0
Aldosterone-regulated sodium reabsorption,0.4700566224368932,105.0,0.5682906465285875,105.0
Adrenergic signaling in cardiomyocytes,0.46992430401238217,106.0,0.511974569009876,164.0
Folate biosynthesis,0.4683824371507545,107.0,0.43827988483659863,248.0
Phosphatidylinositol signaling system,0.4669834254019773,108.0,0.5330699857127777,140.0
Mucin type O-glycan biosynthesis,0.4668989200552845,109.0,0.6011572830926293,78.0
Yersinia infection,0.4667976001364102,110.0,0.5546228753474118,114.0
Fc epsilon RI signaling pathway,0.4666411847770878,111.0,0.5173449988015177,157.0
Glycosaminoglycan biosynthesis,0.46548190587435745,112.0,0.4969979486266011,190.0
ABC transporters,0.46348257055818654,113.0,0.6166727885627268,71.0
Dopaminergic synapse,0.4629256825180765,114.0,0.5286827253665111,148.0
Axon guidance,0.46256025781684107,115.0,0.49401827211342153,192.0
Prolactin signaling pathway,0.4616594915120608,116.0,0.5326486393093133,143.0
Starch and sucrose metabolism,0.46013361272562475,117.0,0.4344168460434993,251.0
Breast cancer,0.4584166492765405,118.0,0.6319968020569059,66.0
Acute myeloid leukemia,0.45677637632027357,119.0,0.5494700203995418,120.0
FoxO signaling pathway,0.4556402423206293,120.0,0.567574990299653,106.0
Leishmaniasis,0.45557725524377163,121.0,0.5121809228273563,163.0
Sphingolipid signaling pathway,0.4544399113508718,122.0,0.5398337121776944,129.0
Long-term potentiation,0.4536834474707592,123.0,0.5010769942164662,182.0
Circadian rhythm,0.4532636580440327,124.0,0.6529136604000748,56.0
Rheumatoid arthritis,0.4529885993890571,125.0,0.4579544902163826,231.0
Herpes simplex virus 1 infection,0.4519003577185923,126.0,0.5563877906006535,113.0
Oxytocin signaling pathway,0.4515956505758128,127.0,0.49844315423154933,186.0
GABAergic synapse,0.4507617501004656,128.0,0.5333937092627428,139.0
Peroxisome,0.4499952595091294,129.0,0.5585620624739688,112.0
Central carbon metabolism in cancer,0.44890384328338,130.0,0.6503297786382368,57.0
Taurine and hypotaurine metabolism,0.44813941355027936,131.0,0.5659940286261566,107.0
Th1 and Th2 cell differentiation,0.44684892657690156,132.0,0.5335007180372072,137.0
Thyroid hormone signaling pathway,0.4467955482494398,133.0,0.547512406426533,122.0
Thiamine metabolism,0.44639611131603274,134.0,0.6350012402143413,65.0
Cysteine and methionine metabolism,0.44542482663337085,135.0,0.5659346570431952,108.0
Glyoxylate and dicarboxylate metabolism,0.44470037363462817,136.0,0.5237310670265808,151.0
Cushing syndrome,0.44328648454334585,137.0,0.540704415006607,128.0
Chemical carcinogenesis,0.44250300924705915,138.0,0.5017941428532571,179.0
NF-kappa B signaling pathway,0.44239439237272676,139.0,0.5179266341460189,156.0
Regulation of actin cytoskeleton,0.44151432447478217,140.0,0.5368015509830762,132.0
Shigellosis,0.44129490847940445,141.0,0.5253876477528712,149.0
Apelin signaling pathway,0.4407727063951669,142.0,0.5090233669553637,167.0
Alcoholism,0.4379772705616534,143.0,0.49738825429835437,189.0
Arginine and proline metabolism,0.4371003922661973,144.0,0.5187026797938339,154.0
PD-L1 expression and PD-1 checkpoint pathway in cancer,0.4365633022415099,145.0,0.5500675285704216,119.0
Autophagy,0.4364036608485085,146.0,0.5385087585149559,131.0
Renin secretion,0.43616760627252094,147.0,0.4444593056216905,243.0
Human cytomegalovirus infection,0.43568172385806003,148.0,0.49812383267890087,187.0
Fc gamma R-mediated phagocytosis,0.4341109982157244,149.0,0.5245120197731371,150.0
Hepatocellular carcinoma,0.4333723580438965,150.0,0.5833252189627594,94.0
Vascular smooth muscle contraction,0.4328066749466077,151.0,0.47009519094877944,219.0
Endometrial cancer,0.4324210450120709,152.0,0.593659843545275,86.0
Regulation of lipolysis in adipocytes,0.4323532293964888,153.0,0.44655064715013365,241.0
Pathways in cancer,0.4320858877969253,154.0,0.5359507817417759,134.0
HIF-1 signaling pathway,0.430535277211707,155.0,0.579823930714977,97.0
Longevity regulating pathway,0.4296258092532552,156.0,0.453219250643132,236.0
C-type lectin receptor signaling pathway,0.4280932434326861,157.0,0.5408637072067608,127.0
Th17 cell differentiation,0.42790264257532346,158.0,0.5112550962799355,166.0
beta-Alanine metabolism,0.4276695721659596,159.0,0.5152075739785471,161.0
Pathogenic Escherichia coli infection,0.42672232282061995,160.0,0.5032683911857351,176.0
Gap junction,0.42669797493570566,161.0,0.4928853526006999,194.0
GnRH signaling pathway,0.4249984742036555,162.0,0.5685583496425233,104.0
Arrhythmogenic right ventricular cardiomyopathy,0.4236119766754571,163.0,0.5294919198551641,147.0
Gastric cancer,0.4232426959592569,164.0,0.5889753146081255,90.0
Long-term depression,0.4223975223287743,165.0,0.5847688572997233,93.0
Proteoglycans in cancer,0.4223512728465305,166.0,0.5197920298257016,152.0
Neurotrophin signaling pathway,0.42212851836288673,167.0,0.49415695071416166,191.0
Human immunodeficiency virus 1 infection,0.42181102154514866,168.0,0.547455426236762,123.0
Transcriptional misregulation in cancer,0.42067885557015255,169.0,0.4247373355755194,266.0
Estrogen signaling pathway,0.4205503281325698,170.0,0.4725848900959024,217.0
Thyroid hormone synthesis,0.41743653820979576,171.0,0.506579865811283,170.0
Influenza A,0.4168953090591698,172.0,0.4926925381848836,196.0
Notch signaling pathway,0.4168041913836721,173.0,0.5987518266329934,80.0
Morphine addiction,0.4166817576643193,174.0,0.44883821811873104,238.0
Nitrogen metabolism,0.41660244513543176,175.0,0.49985035751280354,183.0
Cell adhesion molecules,0.41584906406955846,176.0,0.4784636006425017,213.0
Maturity onset diabetes of the young,0.4149289440501722,177.0,0.4977960947743652,188.0
Insulin secretion,0.414036682450735,178.0,0.42975162801333416,260.0
Insulin signaling pathway,0.413586830459877,179.0,0.5438583335492047,124.0
Arachidonic acid metabolism,0.4130578750883351,180.0,0.5524465975786115,117.0
Aldosterone synthesis and secretion,0.4114024339706174,181.0,0.4210766560699856,269.0
Wnt signaling pathway,0.40875658632096845,182.0,0.5591713439794661,110.0
Glycerolipid metabolism,0.40753420185040806,183.0,0.43142059466538163,258.0
Hypertrophic cardiomyopathy,0.40748482421171983,184.0,0.5012521358227267,181.0
Human papillomavirus infection,0.4069088410998349,185.0,0.5314418038336329,144.0
Proximal tubule bicarbonate reclamation,0.40595348369580064,186.0,0.5029554198291826,177.0
Coronavirus disease,0.40501240762774166,187.0,0.568647944892133,103.0
Dilated cardiomyopathy,0.4043077951130147,188.0,0.48536502634496986,204.0
Ether lipid metabolism,0.4036366140416644,189.0,0.5164068990095102,159.0
Glycosphingolipid biosynthesis,0.4026726950508428,190.0,0.508095895359048,169.0
Tuberculosis,0.4018417284618366,191.0,0.48163214220446393,209.0
Bacterial invasion of epithelial cells,0.4013012879191874,192.0,0.5041252151114082,175.0
Chagas disease,0.4008164994729316,193.0,0.4917321011127981,197.0
SNARE interactions in vesicular transport,0.4003256647312763,194.0,0.4578720100191539,232.0
Focal adhesion,0.40028670390841,195.0,0.4543863227967204,235.0
NOD-like receptor signaling pathway,0.3999873894220807,196.0,0.5188579505057228,153.0
Asthma,0.39924130132337715,197.0,0.37318752907798736,295.0
cAMP signaling pathway,0.39919910260729147,198.0,0.46948759124974493,220.0
Biosynthesis of unsaturated fatty acids,0.3991409695989728,199.0,0.43106463642775916,259.0
"Parathyroid hormone synthesis, secretion and action",0.39760045682058376,200.0,0.49273794845146124,195.0
Citrate cycle (TCA cycle),0.3974210176667196,201.0,0.7243912264608494,41.0
Various types of N-glycan biosynthesis,0.39632280933282066,202.0,0.6181571800144492,70.0
Selenocompound metabolism,0.3955033663655969,203.0,0.5428090337476481,125.0
Lipid and atherosclerosis,0.39527438957077843,204.0,0.48714627793152515,201.0
Glycolysis / Gluconeogenesis,0.3941335960014789,205.0,0.5774679031048489,101.0
Osteoclast differentiation,0.3939228545731018,206.0,0.48596986267376824,203.0
Rap1 signaling pathway,0.393803314040454,207.0,0.4601850012221711,228.0
Glycerophospholipid metabolism,0.3932205070576931,208.0,0.46543230224852916,224.0
Glutamatergic synapse,0.3920787092190967,209.0,0.4670577125279157,222.0
T cell receptor signaling pathway,0.39139638421560596,210.0,0.5052241370723491,173.0
Type I diabetes mellitus,0.3910723020210074,211.0,0.43303174383043996,256.0
Platelet activation,0.3908117144807495,212.0,0.42729076516966674,263.0
Toll-like receptor signaling pathway,0.3899554055102392,213.0,0.48602442803756235,202.0
Endocrine and other factor-regulated calcium reabsorption,0.38969451563125135,214.0,0.5591185497649905,111.0
African trypanosomiasis,0.38916658187157205,215.0,0.4936683692319143,193.0
Ras signaling pathway,0.3884114269054309,216.0,0.46551810332829147,223.0
Hematopoietic cell lineage,0.3882226003710605,217.0,0.43425662505402735,253.0
Legionellosis,0.38734186784390356,218.0,0.5173142046370871,158.0
TGF-beta signaling pathway,0.38605101354628185,219.0,0.42882689652883876,261.0
Leukocyte transendothelial migration,0.3852211012558166,220.0,0.42480545237866446,265.0
Gastric acid secretion,0.3850325515983026,221.0,0.44945415401877,237.0
Colorectal cancer,0.3849711032642651,222.0,0.5308631851203253,145.0
Cholinergic synapse,0.38493717733053173,223.0,0.42491905959951015,264.0
Signaling pathways regulating pluripotency of stem cells,0.3839929660179684,224.0,0.5116784738925229,165.0
Hepatitis C,0.38221198355107366,225.0,0.5060565678333413,172.0
Basal cell carcinoma,0.38117682105712214,226.0,0.5976723543763576,82.0
Circadian entrainment,0.38109923073205376,227.0,0.4239205676975827,268.0
Necroptosis,0.3792988197292567,228.0,0.470490876794334,218.0
Allograft rejection,0.37902654484686277,229.0,0.43439337496927344,252.0
PI3K-Akt signaling pathway,0.3788543095769662,230.0,0.443513832917917,244.0
Type II diabetes mellitus,0.37833982853671294,231.0,0.46755372894094893,221.0
Adipocytokine signaling pathway,0.3783161301208276,232.0,0.5049816407426979,174.0
PPAR signaling pathway,0.375950470835218,233.0,0.4628205584055983,225.0
Mineral absorption,0.37445251806922014,234.0,0.38071095828434404,292.0
Carbohydrate digestion and absorption,0.37397755042381425,235.0,0.44338118867057247,245.0
Fatty acid elongation,0.3718711629201574,236.0,0.506475092734287,171.0
Hippo signaling pathway,0.37086080653050446,237.0,0.4317447730735529,257.0
Nicotinate and nicotinamide metabolism,0.37081542481108115,238.0,0.4995862554578665,184.0
Nicotine addiction,0.37049097679715437,239.0,0.4087112195216736,274.0
Fatty acid degradation,0.36985615186113996,240.0,0.48898381209859176,199.0
Calcium signaling pathway,0.36959618437083225,241.0,0.4366920910920554,249.0
Tight junction,0.3694836876898104,242.0,0.40475347439521686,276.0
Pyruvate metabolism,0.36860310310068173,243.0,0.5706294407168128,102.0
Glucagon signaling pathway,0.3685464498186862,244.0,0.5328784536982298,141.0
Lysosome,0.36809020707518236,245.0,0.44838862702902793,239.0
AGE-RAGE signaling pathway in diabetic complications,0.36758079871109994,246.0,0.4831751261954877,205.0
Protein digestion and absorption,0.36730979062806474,247.0,0.4039915182141238,277.0
Systemic lupus erythematosus,0.36702658217152334,248.0,0.3192427637475218,309.0
Pertussis,0.3663524331294533,249.0,0.4333711551916712,254.0
N-Glycan biosynthesis,0.36627024632952976,250.0,0.6408847000056485,61.0
Neutrophil extracellular trap formation,0.3656108078531217,251.0,0.4606533469621195,227.0
Inflammatory mediator regulation of TRP channels,0.3656035646898387,252.0,0.4420300278699484,246.0
"Glycine, serine and threonine metabolism",0.36466588306275904,253.0,0.5143168684195062,162.0
Cortisol synthesis and secretion,0.36450869735718716,254.0,0.3926493811638785,283.0
Melanogenesis,0.3638762450043754,255.0,0.5334225243819646,138.0
Chemokine signaling pathway,0.36360903509646986,256.0,0.42811213500613393,262.0
Antigen processing and presentation,0.36360637146683417,257.0,0.3999738444638729,280.0
alpha-Linolenic acid metabolism,0.3627093079354409,258.0,0.46131709791156916,226.0
Ovarian steroidogenesis,0.36227425152190246,259.0,0.47410978290936046,216.0
Insulin resistance,0.3615479459049296,260.0,0.4142388199665798,272.0
Salivary secretion,0.3608539391253877,261.0,0.42079697681680767,270.0
Adherens junction,0.35789281555726543,262.0,0.5184841265472561,155.0
Ferroptosis,0.355027811295697,263.0,0.5014512853303006,180.0
ECM-receptor interaction,0.3514828794889052,264.0,0.4077679088059825,275.0
Inflammatory bowel disease,0.3510722835532427,265.0,0.43619886958198945,250.0
GnRH secretion,0.35101539494153006,266.0,0.5021577476778661,178.0
Pancreatic secretion,0.35072196849197707,267.0,0.383936052948243,289.0
Terpenoid backbone biosynthesis,0.35051114541437917,268.0,0.5086272585092396,168.0
Propanoate metabolism,0.35001320468129843,269.0,0.4445472581971151,242.0
"Alanine, aspartate and glutamate metabolism",0.3497010729028769,270.0,0.41715491669493504,271.0
Porphyrin and chlorophyll metabolism,0.3492764447205275,271.0,0.3362738160856398,304.0
Intestinal immune network for IgA production,0.3472141741881354,272.0,0.3860527666969455,287.0
Staphylococcus aureus infection,0.3453946396458822,273.0,0.3684506043339181,297.0
Serotonergic synapse,0.34472888990564876,274.0,0.4597599120781654,229.0
Renal cell carcinoma,0.34186804849644764,275.0,0.47769470680721676,214.0
Natural killer cell mediated cytotoxicity,0.3418610183246413,276.0,0.4106065005739883,273.0
Neuroactive ligand-receptor interaction,0.3401292667913388,277.0,0.4333120874839094,255.0
Viral protein interaction with cytokine and cytokine receptor,0.33981590412281615,278.0,0.39218967181636727,285.0
IL-17 signaling pathway,0.3387552797135676,279.0,0.3311712306491112,305.0
Autoimmune thyroid disease,0.3321002823537068,280.0,0.39890895346347904,281.0
Galactose metabolism,0.3305257640642253,281.0,0.4010464707125825,279.0
Tryptophan metabolism,0.32983545651729346,282.0,0.3269367939972449,307.0
Steroid hormone biosynthesis,0.32767444492505027,283.0,0.3497654006519402,302.0
Malaria,0.32765361768189755,284.0,0.45449083736725654,234.0
RIG-I-like receptor signaling pathway,0.3275027616654244,285.0,0.4786388583882277,212.0
Cholesterol metabolism,0.32602727732172837,286.0,0.39249963487697437,284.0
Bile secretion,0.3241408851246766,287.0,0.37924954650565096,293.0
Metabolism of xenobiotics by cytochrome P450,0.32335127800281427,288.0,0.3824704186359908,291.0
Linoleic acid metabolism,0.3227183353896388,289.0,0.37763214133857254,294.0
B cell receptor signaling pathway,0.3214252645788336,290.0,0.40243430606643243,278.0
Complement and coagulation cascades,0.31859911830942,291.0,0.34824184834378624,303.0
Retinol metabolism,0.3120024313811933,292.0,0.37314010552324256,296.0
Cytokine-cytokine receptor interaction,0.3103774150053054,293.0,0.3682207130212299,298.0
Graft-versus-host disease,0.3101633935730814,294.0,0.20977018477755374,315.0
JAK-STAT signaling pathway,0.3049270811771933,295.0,0.3947572141586418,282.0
Phenylalanine metabolism,0.3044869925837207,296.0,0.28975274343472834,311.0
Primary immunodeficiency,0.30272559853967557,297.0,0.4597186121335573,230.0
Caffeine metabolism,0.2990592594659697,298.0,0.4831388661018504,206.0
Measles,0.29821548902246525,299.0,0.4762501100552313,215.0
Arginine biosynthesis,0.29257452265572054,300.0,0.4816520846355507,208.0
Histidine metabolism,0.28965112439396856,301.0,0.3875562101775272,286.0
Taste transduction,0.2876708379608909,302.0,0.3548550783566301,301.0
Fat digestion and absorption,0.28073394155765813,303.0,0.24703887221077295,314.0
Sphingolipid metabolism,0.27911433506216127,304.0,0.3666167321999435,299.0
Renin-angiotensin system,0.27656178382001756,305.0,0.45693022664734784,233.0
Phototransduction,0.27544690719797277,306.0,0.33111560567245807,306.0
Pentose and glucuronate interconversions,0.2746064315022621,307.0,0.29642986289852086,310.0
Amoebiasis,0.2732603000732652,308.0,0.3826910653769384,290.0
Hedgehog signaling pathway,0.27252560037925533,309.0,0.44038152314149465,247.0
Glycosaminoglycan degradation,0.25738128781465736,310.0,0.42419887583276356,267.0
Primary bile acid biosynthesis,0.25639752973287705,311.0,0.3572317490115943,300.0
Other glycan degradation,0.2516863212424313,312.0,0.32647102841030917,308.0
Ascorbate and aldarate metabolism,0.24177146530674834,313.0,0.1789182934870602,316.0
Olfactory transduction,0.22805751981234232,314.0,0.2825018299410434,313.0
Vitamin B6 metabolism,0.21314413050324119,315.0,0.3846680042140418,288.0
Phosphonate and phosphinate metabolism,0.1640765156592976,316.0,0.16139117949234782,317.0
D-Glutamine and D-glutamate metabolism,0.059549063966891656,317.0,0.28267025031571824,312.0
